tick,read_write_time_ms,mem_usage_mb,chunks_loaded,chunks_unloaded,used_cells,used_cells_bbox_w,used_cells_bbox_h,player_x,player_y,savefile_size
3769,0.061,56.0157155990601,0,0,4096,64,64,17759.453125,17759.453125,1589248
3770,0.053,56.0157165527344,0,0,4096,64,64,17764.16796875,17764.16796875,1589248
3771,0.063,56.0157175064087,0,0,4096,64,64,17768.8828125,17768.8828125,1589248
3772,0.054,56.015718460083,0,0,4096,64,64,17773.59765625,17773.59765625,1589248
3773,0.055,56.0157194137573,0,0,4096,64,64,17778.3125,17778.3125,1589248
3774,0.043,56.0157203674316,0,0,4096,64,64,17783.02734375,17783.02734375,1589248
3775,0.053,56.015721321106,0,0,4096,64,64,17787.7421875,17787.7421875,1589248
3776,0.041,56.0157222747803,0,0,4096,64,64,17792.45703125,17792.45703125,1589248
3777,0.057,56.0157232284546,0,0,4096,64,64,17797.171875,17797.171875,1589248
3778,0.057,56.0157241821289,0,0,4096,64,64,17801.88671875,17801.88671875,1589248
3779,0.06,56.0157251358032,0,0,4096,64,64,17806.6015625,17806.6015625,1589248
3780,0.055,56.0157260894775,0,0,4096,64,64,17811.31640625,17811.31640625,1589248
3781,0.037,56.0157270431519,0,0,4096,64,64,17816.03125,17816.03125,1589248
3782,0.059,56.0157279968262,0,0,4096,64,64,17820.74609375,17820.74609375,1589248
3783,0.052,56.0157289505005,0,0,4096,64,64,17825.4609375,17825.4609375,1589248
3784,0.045,56.0157299041748,0,0,4096,64,64,17830.17578125,17830.17578125,1589248
3785,0.049,56.0157308578491,0,0,4096,64,64,17834.890625,17834.890625,1589248
3786,0.038,56.0157318115234,0,0,4096,64,64,17839.60546875,17839.60546875,1589248
3787,0.048,56.0157327651978,0,0,4096,64,64,17844.3203125,17844.3203125,1589248
3788,0.047,56.0157337188721,0,0,4096,64,64,17849.03515625,17849.03515625,1589248
3789,0.057,56.0157346725464,0,0,4096,64,64,17853.75,17853.75,1589248
3790,0.059,56.0157356262207,0,0,4096,64,64,17858.46484375,17858.46484375,1589248
3791,0.059,56.015736579895,0,0,4096,64,64,17863.1796875,17863.1796875,1589248
3792,0.053,56.0157375335693,0,0,4096,64,64,17867.89453125,17867.89453125,1589248
3793,0.039,56.0157384872437,0,0,4096,64,64,17872.609375,17872.609375,1589248
3794,0.041,56.015739440918,0,0,4096,64,64,17877.32421875,17877.32421875,1589248
3795,0.039,56.0157403945923,0,0,4096,64,64,17882.0390625,17882.0390625,1589248
3796,0.045,56.0157413482666,0,0,4096,64,64,17886.75390625,17886.75390625,1589248
3797,43.799,56.7328100204468,7,7,4096,64,64,17891.46875,17891.46875,1589248
3798,0.038,56.0157432556152,0,0,4096,64,64,17896.18359375,17896.18359375,1589248
3799,0.016,56.0168581008911,0,0,4096,64,64,17900.8984375,17900.8984375,1589248
3800,0.091,56.0157451629639,0,0,4096,64,64,17905.61328125,17905.61328125,1589248
3801,0.029,56.0157461166382,0,0,4096,64,64,17910.328125,17910.328125,1589248
3802,0.038,56.0157470703125,0,0,4096,64,64,17915.04296875,17915.04296875,1589248
3803,0.088,56.0157480239868,0,0,4096,64,64,17919.7578125,17919.7578125,1589248
3804,0.059,56.0157489776611,0,0,4096,64,64,17924.47265625,17924.47265625,1589248
3805,0.058,56.0157499313354,0,0,4096,64,64,17929.1875,17929.1875,1589248
3806,0.053,56.0157508850098,0,0,4096,64,64,17933.90234375,17933.90234375,1589248
3807,0.054,56.0157518386841,0,0,4096,64,64,17938.6171875,17938.6171875,1589248
3808,0.052,56.0157527923584,0,0,4096,64,64,17943.33203125,17943.33203125,1589248
3809,0.063,56.0157537460327,0,0,4096,64,64,17948.046875,17948.046875,1589248
3810,0.055,56.015754699707,0,0,4096,64,64,17952.76171875,17952.76171875,1589248
3811,0.047,56.0157556533813,0,0,4096,64,64,17957.4765625,17957.4765625,1589248
